"","participant.code","Puzzle","session.code","participant.id_in_session","Good.Reason","Other.Reason","Confidence","Choice","Response","Power","Gender","Condition"
"76","gy4n0n02",1,"t6i46o0l",2,2,5,1,2,4,4,"Woman","Powerless"
"77","gy4n0n02",2,"t6i46o0l",2,3,3,1,1,1,4,"Woman","Powerless"
"78","gy4n0n02",3,"t6i46o0l",2,3,4,2,3,3,4,"Woman","Powerless"
"79","hc3tscqg",1,"i87vkgwy",2,1,1,1,1,4,4,"Man","Powerless"
"80","hc3tscqg",2,"i87vkgwy",2,4,4,3,1,1,4,"Man","Powerless"
"81","hc3tscqg",3,"i87vkgwy",2,4,4,4,2,2,4,"Man","Powerless"
"82","hck5c5vn",1,"lgxasjsv",1,4,4,4,3,4,4,"Man","Powerful"
"83","hck5c5vn",2,"lgxasjsv",1,4,4,4,3,2,4,"Man","Powerful"
"84","hck5c5vn",3,"lgxasjsv",1,3,3,3,1,3,4,"Man","Powerful"
"85","hdjtv0ae",1,"47p2cr48",2,4,4,7,1,4,4,"Man","Powerless"
"86","hdjtv0ae",2,"47p2cr48",2,5,3,7,1,2,4,"Man","Powerless"
"87","hdjtv0ae",3,"47p2cr48",2,7,2,9,1,1,4,"Man","Powerless"
"88","hepzuh0j",1,"s9434x9c",1,3,5,4,2,3,4,"Woman","Powerful"
"89","hepzuh0j",2,"s9434x9c",1,3,6,3,2,1,4,"Woman","Powerful"
"90","hepzuh0j",3,"s9434x9c",1,6,6,7,1,3,4,"Woman","Powerful"
"91","hxxlxj1n",1,"knfnvxjq",1,0,2,0,1,3,5,"Woman","Powerful"
"92","hxxlxj1n",2,"knfnvxjq",1,4,4,3,2,2,5,"Woman","Powerful"
"93","hxxlxj1n",3,"knfnvxjq",1,4,4,4,3,3,5,"Woman","Powerful"
"94","iu1wbm0z",1,"h638cw17",1,3,4,3,2,3,6,"Man","Powerful"
"95","iu1wbm0z",2,"h638cw17",1,4,4,4,3,2,6,"Man","Powerful"
"96","iu1wbm0z",3,"h638cw17",1,6,3,5,1,1,6,"Man","Powerful"
"97","jshva6io",1,"e8shjnat",1,2,1,2,1,4,6,"Man","Powerful"
"98","jshva6io",2,"e8shjnat",1,4,2,4,1,1,6,"Man","Powerful"
"99","jshva6io",3,"e8shjnat",1,5,2,6,1,1,6,"Man","Powerful"
"100","m9zed7c0",1,"l7w2yjt5",1,5,7,8,3,2,4,"Man","Powerful"
"101","m9zed7c0",2,"l7w2yjt5",1,7,4,9,3,2,4,"Man","Powerful"
"102","m9zed7c0",3,"l7w2yjt5",1,7,7,9,3,3,4,"Man","Powerful"
"103","mukmjy5d",1,"fqxsg009",2,6,4,9,3,4,6,"Man","Powerless"
"104","mukmjy5d",2,"fqxsg009",2,6,2,8,1,2,6,"Man","Powerless"
"105","mukmjy5d",3,"fqxsg009",2,7,1,9,1,1,6,"Man","Powerless"
"106","p9s8rlzb",1,"a9w8as0m",1,4,3,4,1,3,4,"Woman","Powerful"
"107","p9s8rlzb",2,"a9w8as0m",1,4,4,4,2,1,4,"Woman","Powerful"
"108","p9s8rlzb",3,"a9w8as0m",1,5,4,5,3,3,4,"Woman","Powerful"
"109","pmamae1z",1,"47p2cr48",1,3,6,4,2,3,4,"Woman","Powerful"
"110","pmamae1z",2,"47p2cr48",1,3,3,3,1,1,4,"Woman","Powerful"
"111","pmamae1z",3,"47p2cr48",1,4,3,2,1,3,4,"Woman","Powerful"
"112","pppawrao",1,"1we16xbw",1,4,2,4,1,2,4,"Man","Powerful"
"113","pppawrao",2,"1we16xbw",1,5,1,5,1,2,4,"Man","Powerful"
"114","pppawrao",3,"1we16xbw",1,7,4,8,3,1,4,"Man","Powerful"
"115","qbtby0il",1,"t3iexnmv",1,5,5,4,1,4,7,"Woman","Powerful"
"116","qbtby0il",2,"t3iexnmv",1,3,7,3,2,2,7,"Woman","Powerful"
"117","qbtby0il",3,"t3iexnmv",1,7,7,7,3,3,7,"Woman","Powerful"
"118","r8808zsl",1,"zpqiz4vr",2,4,5,4,3,3,4,"Man","Powerless"
"119","r8808zsl",2,"zpqiz4vr",2,4,3,3,2,2,4,"Man","Powerless"
"120","r8808zsl",3,"zpqiz4vr",2,5,6,5,1,3,4,"Man","Powerless"
"121","rkl3b548",1,"u95rc29i",1,3,1,4,1,3,5,"Woman","Powerful"
"122","rkl3b548",2,"u95rc29i",1,3,3,3,1,1,5,"Woman","Powerful"
"123","rkl3b548",3,"u95rc29i",1,6,4,7,1,3,5,"Woman","Powerful"
"124","rzu1i45a",1,"t3iexnmv",2,5,2,3,3,4,7,"Woman","Powerless"
"125","rzu1i45a",2,"t3iexnmv",2,6,4,5,1,1,7,"Woman","Powerless"
"126","rzu1i45a",3,"t3iexnmv",2,7,7,9,3,3,7,"Woman","Powerless"
"127","sqjsu5tu",1,"su48zyc3",1,3,3,2,1,3,4,"Man","Powerful"
"128","sqjsu5tu",2,"su48zyc3",1,4,3,4,3,2,4,"Man","Powerful"
"129","sqjsu5tu",3,"su48zyc3",1,7,5,9,3,3,4,"Man","Powerful"
"130","trnxlbdd",1,"5mfu005u",2,5,3,4,1,2,2,"Woman","Powerless"
"131","trnxlbdd",2,"5mfu005u",2,6,6,6,2,2,2,"Woman","Powerless"
"132","trnxlbdd",3,"5mfu005u",2,7,3,8,1,1,2,"Woman","Powerless"
"133","uefgx0pe",1,"knfnvxjq",2,4,4,6,1,1,2,"Woman","Powerless"
"134","uefgx0pe",2,"knfnvxjq",2,7,1,8,1,1,2,"Woman","Powerless"
"135","uefgx0pe",3,"knfnvxjq",2,7,7,9,3,3,2,"Woman","Powerless"
"136","vc1lizx7",1,"lgxasjsv",2,3,4,2,1,4,2,"Man","Powerless"
"137","vc1lizx7",2,"lgxasjsv",2,4,3,6,1,2,2,"Man","Powerless"
"138","vc1lizx7",3,"lgxasjsv",2,5,2,8,1,1,2,"Man","Powerless"
"139","w960114j",1,"1we16xbw",2,3,4,3,2,1,4,"Woman","Powerless"
"140","w960114j",2,"1we16xbw",2,5,3,5,1,1,4,"Woman","Powerless"
"141","w960114j",3,"1we16xbw",2,4,4,4,3,1,4,"Woman","Powerless"
"142","yk1f1719",1,"5mfu005u",1,5,4,5,1,4,4,"Man","Powerful"
"143","yk1f1719",2,"5mfu005u",1,5,3,5,1,1,4,"Man","Powerful"
"144","yk1f1719",3,"5mfu005u",1,3,3,4,1,3,4,"Man","Powerful"
"145","yref5ovt",1,"md0qu86y",1,5,4,6,1,4,5,"Woman","Powerful"
"146","yref5ovt",2,"md0qu86y",1,3,4,3,2,1,5,"Woman","Powerful"
"147","yref5ovt",3,"md0qu86y",1,6,7,7,2,3,5,"Woman","Powerful"
"148","ztr5sjp8",1,"e8shjnat",2,3,4,4,2,2,4,"Woman","Powerless"
"149","ztr5sjp8",2,"e8shjnat",2,5,3,5,1,2,4,"Woman","Powerless"
"150","ztr5sjp8",3,"e8shjnat",2,5,6,6,2,3,4,"Woman","Powerless"
